Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
606,4132,2011/5/28,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,2011/5/30
2847,20513,2009/7/7,High,13,42.27,0.01,Express Air,4.56,2.84,0.93,Aaron Bergman,Alberta,West,Corporate,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent? Tank-Style Highlighters,Wrap Bag,0.54,2009/7/8
5086,36262,2010/7/27,Not Specified,23,164.02,0.03,Express Air,-47.64,6.68,6.15,Aaron Bergman,Alberta,West,Corporate,Office Supplies,Paper,Xerox 1968,Small Box,0.37,2010/7/28
5087,36262,2010/7/27,Not Specified,23,136.81,0.01,Regular Air,-30.51,5.68,3.6,Aaron Bergman,Alberta,West,Corporate,Office Supplies,Scissors-- Rulers and Trimmers,Acme? Preferred Stainless Steel Scissors,Small Pack,0.56,2010/7/28
5088,36262,2010/7/27,Not Specified,26,4701.69,0,Express Air,1148.9,205.99,2.5,Aaron Bergman,Alberta,West,Corporate,Technology,Telephones and Communication,V70,Small Box,0.59,2010/7/27
5597,39682,2010/11/9,Medium,43,2337.89,0.09,Express Air,729.34,55.48,14.3,Aaron Bergman,Alberta,West,Corporate,Office Supplies,Paper,Xerox 194,Small Box,0.37,2010/11/11
7549,54019,2009/7/1,Low,35,4233.15,0.08,Delivery Truck,1219.87,120.97,26.3,Aaron Bergman,Alberta,West,Corporate,Technology,Office Machines,Canon S750 Color Inkjet Printer,Jumbo Drum,0.38,2009/7/8
3866,27559,2011/10/30,High,38,465.9,0.05,Regular Air,79.34,12.28,4.86,Aaron Hawkins,Nova Scotia,Atlantic,Home Office,Office Supplies,Paper,Xerox 1933,Small Box,0.38,2011/10/31
2876,20737,2011/12/25,Medium,10,1410.93,0.08,Delivery Truck,-317.48,140.98,36.09,Aaron Hawkins,Quebec,Quebec,Home Office,Furniture,Bookcases,Sauder Forest Hills Library-- Woodland Oak Finish,Jumbo Box,0.77,2011/12/26
2877,20737,2011/12/25,Medium,15,3364.248,0.1,Delivery Truck,-693.23,286.85,61.76,Aaron Hawkins,Quebec,Quebec,Home Office,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series,Jumbo Box,0.78,2011/12/27
